hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,booking_changes,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,total_nights,revenue
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,D,D,1,No Deposit,Transient,99.67,0,1,6,598.02
Resort Hotel,0,127,2015,July,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,D,I,0,No Deposit,Contract,94.95,0,1,7,664.65
Resort Hotel,0,78,2015,July,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,63.6,1,0,7,445.2
Resort Hotel,0,48,2015,July,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,79.5,0,0,7,556.5
Resort Hotel,1,60,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,107.0,0,2,7,749.0
Resort Hotel,0,77,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,94.0,0,0,7,658.0
Resort Hotel,0,99,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,87.3,1,1,7,611.1
Resort Hotel,0,118,2015,July,27,1,4,10,1,0,0,BB,Unknown,Direct,Direct,A,A,2,No Deposit,Transient,62.0,0,2,14,868.0
Resort Hotel,0,95,2015,July,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,63.86,0,0,15,957.9
Resort Hotel,1,96,2015,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,E,E,0,No Deposit,Transient,108.3,0,2,10,1083.0
Resort Hotel,0,69,2015,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,A,C,0,No Deposit,Transient,65.5,0,0,6,393.0
Resort Hotel,1,45,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,108.8,0,1,4,435.2
Resort Hotel,1,40,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,108.8,0,1,4,435.2
Resort Hotel,0,15,2015,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,A,C,0,No Deposit,Transient,98.0,0,0,4,392.0
Resort Hotel,0,36,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,108.8,0,1,4,435.2
Resort Hotel,1,43,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,108.8,0,0,4,435.2
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,E,E,0,No Deposit,Transient,137.0,0,1,5,685.0
Resort Hotel,1,45,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,G,G,0,No Deposit,Transient,117.81,0,0,5,589.05
Resort Hotel,0,45,2015,July,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,79.5,0,0,5,397.5
Resort Hotel,0,16,2015,July,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,F,F,0,No Deposit,Transient,123.0,0,0,5,615.0
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,E,E,0,No Deposit,Transient,137.0,0,1,5,685.0
Resort Hotel,0,107,2015,July,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,110.7,0,2,7,774.9
Resort Hotel,1,47,2015,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,G,G,0,No Deposit,Transient,153.0,0,0,7,1071.0
Resort Hotel,0,96,2015,July,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,58.95,0,1,7,412.65000000000003
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,E,E,0,No Deposit,Transient-Party,82.88,0,2,7,580.16
Resort Hotel,0,90,2015,July,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,A,B,1,No Deposit,Contract,82.35,0,0,7,576.4499999999999
Resort Hotel,0,50,2015,July,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,E,F,1,No Deposit,Transient,119.35,0,1,7,835.4499999999999
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient-Party,67.58,0,2,7,473.06
Resort Hotel,0,93,2015,July,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,A,A,0,No Deposit,Contract,56.01,0,0,11,616.11
Resort Hotel,0,76,2015,July,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,110.7,0,0,14,1549.8
Resort Hotel,0,3,2015,July,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,A,C,0,No Deposit,Transient,88.2,1,0,1,88.2
Resort Hotel,0,1,2015,July,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO,H,H,0,No Deposit,Transient,147.0,1,0,1,147.0
Resort Hotel,0,1,2015,July,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,C,C,0,No Deposit,Transient,107.0,1,2,1,107.0
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,H,H,0,No Deposit,Transient,147.0,0,0,1,147.0
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,A,D,0,No Deposit,Transient,117.9,0,2,1,117.9
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,G,G,0,No Deposit,Transient,123.0,0,0,1,123.0
Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,A,C,0,No Deposit,Transient,98.0,0,1,2,196.0
Resort Hotel,0,10,2015,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,G,G,0,No Deposit,Transient,117.81,0,0,2,235.62
Resort Hotel,0,5,2015,July,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO,E,E,0,No Deposit,Transient,135.0,1,2,2,270.0
Resort Hotel,0,17,2015,July,27,2,0,3,2,0,0,BB,ESP,Direct,Direct,F,F,0,No Deposit,Transient,133.0,0,1,3,399.0
Resort Hotel,0,93,2015,July,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,A,C,0,No Deposit,Contract,58.95,0,0,3,176.85000000000002
Resort Hotel,1,3,2015,July,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,136.33,0,2,3,408.99
Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,G,H,0,No Deposit,Transient,153.0,1,0,2,306.0
Resort Hotel,0,3,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,A,C,0,No Deposit,Transient,110.5,0,0,2,221.0
Resort Hotel,0,51,2015,July,27,3,0,2,2,0,0,BB,POL,Online TA,TA/TO,D,D,0,No Deposit,Transient,97.0,0,0,2,194.0
Resort Hotel,1,71,2015,July,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,110.3,0,2,2,220.6
Resort Hotel,1,63,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,82.0,0,2,2,164.0
Resort Hotel,1,62,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,97.0,0,1,2,194.0
Resort Hotel,1,101,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,73.8,0,1,2,147.6
Resort Hotel,0,2,2015,July,27,3,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,91.5,0,0,2,183.0
Resort Hotel,0,15,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,114.5,0,0,2,229.0
Resort Hotel,1,51,2015,July,27,3,0,2,3,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,110.3,0,0,2,220.6
Resort Hotel,0,3,2015,July,27,3,1,2,2,0,0,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,90.9,1,0,3,272.70000000000005
Resort Hotel,1,48,2015,July,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,123.0,0,0,3,369.0
Resort Hotel,0,2,2015,July,27,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,122.0,0,0,4,488.0
Resort Hotel,0,72,2015,July,27,3,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,110.7,1,0,4,442.8
Resort Hotel,0,81,2015,July,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,85.86,0,0,8,686.88
Resort Hotel,0,99,2015,July,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Contract,58.95,0,0,9,530.5500000000001
Resort Hotel,1,368,2015,July,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Contract,55.68,0,0,10,556.8
Resort Hotel,0,364,2015,July,27,3,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,A,A,0,No Deposit,Contract,55.68,0,0,10,556.8
Resort Hotel,1,81,2015,July,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,A,A,2,No Deposit,Transient,124.0,0,1,10,1240.0
Resort Hotel,0,99,2015,July,27,3,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,E,E,0,No Deposit,Contract,111.15,0,0,10,1111.5
Resort Hotel,0,324,2015,July,27,3,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,E,E,0,No Deposit,Contract,134.73,0,0,14,1886.2199999999998
Resort Hotel,0,69,2015,July,27,3,4,10,2,0,0,BB,GBR,Online TA,TA/TO,F,F,1,No Deposit,Transient,92.45,0,1,14,1294.3
Resort Hotel,1,79,2015,July,27,3,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,108.73,0,2,21,2283.33
Resort Hotel,0,12,2015,July,27,3,0,1,2,0,0,BB,GBR,Online TA,TA/TO,A,C,0,No Deposit,Transient,73.8,0,0,1,73.8
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,A,C,0,No Deposit,Transient,98.0,1,2,1,98.0
Resort Hotel,0,1,2015,July,27,3,0,1,2,0,0,BB,ESP,Online TA,TA/TO,A,C,0,No Deposit,Transient,131.0,0,1,1,131.0
Resort Hotel,0,21,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,123.0,0,0,1,123.0
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO,C,C,0,No Deposit,Transient,94.71,0,0,1,94.71
Resort Hotel,0,109,2015,July,27,3,0,1,2,0,0,BB,BEL,Online TA,TA/TO,A,A,0,No Deposit,Transient,123.0,0,2,1,123.0
Resort Hotel,1,109,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,123.0,0,1,2,246.0
Resort Hotel,1,72,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,73.8,0,1,2,147.6
Resort Hotel,1,63,2015,July,27,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,F,F,0,No Deposit,Transient,117.0,0,1,7,819.0
Resort Hotel,0,63,2015,July,27,3,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO,E,E,0,No Deposit,Transient,196.54,0,1,7,1375.78
Resort Hotel,0,101,2015,July,27,3,2,5,2,1,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,99.3,1,2,7,695.1
Resort Hotel,0,102,2015,July,27,3,2,5,2,0,0,BB,DEU,Direct,Direct,E,E,0,No Deposit,Transient,90.95,0,0,7,636.65
Resort Hotel,0,4,2015,July,27,4,2,1,2,0,0,BB,ESP,Direct,Direct,A,C,0,No Deposit,Transient,92.67,0,1,3,278.01
Resort Hotel,0,98,2015,July,27,4,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,71.55,1,0,3,214.64999999999998
Resort Hotel,0,92,2015,July,27,4,2,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO,F,F,0,No Deposit,Transient,96.49,0,2,6,578.9399999999999
Resort Hotel,0,95,2015,July,27,4,2,4,2,0,0,BB,PRT,Online TA,TA/TO,A,C,0,No Deposit,Transient,85.8,1,2,6,514.8
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,96.3,0,1,7,674.1
Resort Hotel,1,26,2015,July,27,4,2,5,2,2,0,BB,PRT,Online TA,TA/TO,H,H,0,No Deposit,Transient,163.0,0,0,7,1141.0
Resort Hotel,1,73,2015,July,27,4,2,5,3,0,0,HB,PRT,Direct,Direct,D,D,0,No Deposit,Transient,172.0,0,1,7,1204.0
Resort Hotel,1,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,110.7,0,1,7,774.9
Resort Hotel,0,115,2015,July,27,4,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,58.95,0,1,7,412.65000000000003
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,1,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,73.8,0,2,7,516.6
Resort Hotel,0,86,2015,July,27,4,2,5,2,0,0,BB,CHE,Online TA,TA/TO,D,D,0,No Deposit,Transient,97.0,0,2,7,679.0
Resort Hotel,0,78,2015,July,27,4,2,5,2,0,1,HB,PRT,Online TA,TA/TO,E,F,0,No Deposit,Transient,139.0,0,2,7,973.0
Resort Hotel,0,52,2015,July,27,4,2,5,2,0,0,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,67.24,0,0,7,470.67999999999995
Resort Hotel,0,29,2015,July,27,4,2,6,3,0,0,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,116.5,0,1,8,932.0
Resort Hotel,1,101,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,96.3,0,1,8,770.4
Resort Hotel,0,109,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,123.0,0,1,8,984.0
Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,BB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,71.55,0,1,10,715.5
Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,71.55,0,1,10,715.5
Resort Hotel,0,79,2015,July,27,4,4,6,2,1,0,HB,PRT,Direct,Direct,D,D,1,No Deposit,Transient,149.0,0,1,10,1490.0
Resort Hotel,0,2,2015,July,27,4,0,1,2,2,0,BB,PRT,Online TA,TA/TO,H,G,1,No Deposit,Transient,163.0,1,0,1,163.0
Resort Hotel,0,30,2015,July,27,4,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,D,C,0,No Deposit,Contract,79.5,0,0,1,79.5
Resort Hotel,1,51,2015,July,27,4,0,1,1,0,0,HB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,105.0,0,0,1,105.0
Resort Hotel,1,36,2015,July,27,4,0,1,1,0,0,BB,PRT,Direct,Direct,E,G,1,No Deposit,Transient,123.0,0,0,1,123.0
Resort Hotel,1,73,2015,July,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,73.8,0,2,1,73.8
Resort Hotel,1,33,2015,July,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,113.0,0,0,1,113.0
Resort Hotel,0,32,2015,July,27,4,0,1,4,0,0,FB,PRT,Complementary,Direct,H,H,2,No Deposit,Transient,0.0,0,1,1,0.0
Resort Hotel,0,8,2015,July,27,4,0,1,2,0,0,BB,ESP,Online TA,TA/TO,E,E,0,No Deposit,Transient,123.0,0,0,1,123.0
Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO,A,C,0,No Deposit,Transient-Party,73.8,1,1,2,147.6
Resort Hotel,0,1,2015,July,27,4,1,1,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,114.5,0,0,2,229.0
Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,73.8,0,2,2,147.6
Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO,A,C,0,No Deposit,Transient-Party,73.8,0,1,2,147.6
Resort Hotel,0,9,2015,July,28,5,1,0,2,0,0,BB,ESP,Online TA,TA/TO,A,C,0,No Deposit,Transient,88.2,0,1,1,88.2
Resort Hotel,1,5,2015,July,28,5,1,0,2,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,97.0,0,0,1,97.0
Resort Hotel,0,0,2015,July,28,5,1,0,2,0,0,BB,ESP,Online TA,TA/TO,A,C,1,No Deposit,Transient,85.1,0,0,1,85.1
Resort Hotel,0,9,2015,July,28,5,1,0,1,0,0,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,89.0,0,0,1,89.0
Resort Hotel,0,2,2015,July,28,5,1,0,1,0,0,BB,PRT,Online TA,TA/TO,A,D,0,No Deposit,Transient,80.1,0,0,1,80.1
Resort Hotel,0,2,2015,July,28,5,1,0,2,0,0,BB,PRT,Online TA,TA/TO,A,E,0,No Deposit,Transient,98.0,0,0,1,98.0
Resort Hotel,0,9,2015,July,28,5,1,0,1,0,0,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,101.0,1,0,1,101.0
Resort Hotel,1,5,2015,July,28,5,1,0,2,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,97.0,0,0,1,97.0
Resort Hotel,0,2,2015,July,28,5,1,0,2,0,0,BB,PRT,Direct,Direct,G,G,0,No Deposit,Transient,167.0,0,1,1,167.0
Resort Hotel,0,44,2015,July,28,5,2,0,3,0,0,HB,PRT,Online TA,TA/TO,G,G,3,No Deposit,Transient,225.0,2,0,2,450.0
Resort Hotel,0,80,2015,July,28,5,2,0,2,0,0,BB,FRA,Online TA,TA/TO,D,E,0,No Deposit,Transient,97.0,1,0,2,194.0
Resort Hotel,0,97,2015,July,28,5,2,2,2,0,0,BB,ESP,Online TA,TA/TO,D,D,0,No Deposit,Transient,87.3,0,2,4,349.2
Resort Hotel,0,109,2015,July,28,5,2,3,2,1,0,BB,CN,Offline TA/TO,TA/TO,A,D,0,No Deposit,Transient,85.59,1,2,5,427.95000000000005
Resort Hotel,0,30,2015,July,28,5,2,3,2,0,0,BB,ESP,Online TA,TA/TO,E,E,0,No Deposit,Transient,123.0,0,0,5,615.0
Resort Hotel,0,64,2015,July,28,5,2,3,2,0,0,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,107.0,0,0,5,535.0
Resort Hotel,0,39,2015,July,28,5,2,4,2,0,0,BB,ESP,Online TA,TA/TO,H,H,0,No Deposit,Transient,163.0,0,0,6,978.0
Resort Hotel,0,90,2015,July,28,5,2,4,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,82.0,0,0,6,492.0
Resort Hotel,1,34,2015,July,28,5,2,4,2,2,0,BB,PRT,Online TA,TA/TO,H,H,0,No Deposit,Transient,163.0,0,0,6,978.0
Resort Hotel,1,93,2015,July,28,5,2,5,2,0,0,HB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,105.5,0,0,7,738.5
Resort Hotel,0,97,2015,July,28,5,2,5,2,2,0,HB,PRT,Direct,Direct,C,C,1,No Deposit,Transient,164.2,1,1,7,1149.3999999999999
Resort Hotel,0,29,2015,July,28,5,2,5,2,0,0,BB,IRL,Online TA,TA/TO,F,F,0,No Deposit,Transient,97.29,0,1,7,681.0300000000001
Resort Hotel,1,101,2015,July,28,5,2,5,2,0,0,HB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,114.0,0,1,7,798.0
Resort Hotel,0,27,2015,July,28,5,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,E,E,0,No Deposit,Transient,98.4,0,0,7,688.8000000000001
Resort Hotel,0,8,2015,July,28,5,4,5,2,2,0,BB,CHE,Online TA,TA/TO,H,H,1,No Deposit,Transient,175.0,1,1,9,1575.0
Resort Hotel,0,82,2015,July,28,5,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,63.6,1,2,10,636.0
Resort Hotel,0,94,2015,July,28,5,4,6,3,0,0,BB,PRT,Direct,Direct,D,C,3,No Deposit,Transient,124.45,1,1,10,1244.5
Resort Hotel,0,110,2015,July,28,5,4,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,110.7,0,0,11,1217.7
Resort Hotel,0,96,2015,July,28,5,4,10,1,0,0,HB,GBR,Offline TA/TO,TA/TO,A,A,0,No Deposit,Contract,74.07,0,0,14,1036.98
Resort Hotel,0,79,2015,July,28,5,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,134.1,0,0,14,1877.3999999999999
Resort Hotel,0,115,2015,July,28,6,1,4,2,2,0,BB,PRT,Online TA,TA/TO,G,G,1,No Deposit,Transient,167.0,0,0,5,835.0
Resort Hotel,0,111,2015,July,28,6,1,3,2,0,0,BB,PRT,Online TA,TA/TO,A,C,0,No Deposit,Transient,123.0,0,2,4,492.0
Resort Hotel,0,51,2015,July,28,6,1,3,2,0,0,BB,USA,Online TA,TA/TO,G,G,0,No Deposit,Transient,117.81,1,2,4,471.24
Resort Hotel,0,94,2015,July,28,6,1,3,3,0,0,BB,CN,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,171.32,0,1,4,685.28
Resort Hotel,0,81,2015,July,28,6,1,3,2,2,0,HB,CHE,Direct,Direct,G,G,0,No Deposit,Transient,210.0,1,0,4,840.0
Resort Hotel,0,84,2015,July,28,6,1,3,2,0,1,BB,PRT,Online TA,TA/TO,D,E,1,No Deposit,Transient,97.0,0,2,4,388.0
Resort Hotel,0,51,2015,July,28,6,1,3,3,0,0,BB,USA,Online TA,TA/TO,G,G,0,No Deposit,Transient,117.81,0,2,4,471.24
Resort Hotel,0,2,2015,July,28,6,1,0,2,1,0,BB,PRT,Direct,Direct,A,E,0,No Deposit,Transient,131.0,0,0,1,131.0
Resort Hotel,0,7,2015,July,28,6,1,1,2,0,0,BB,PRT,Online TA,TA/TO,A,E,0,No Deposit,Transient,98.0,0,2,2,196.0
Resort Hotel,0,98,2015,July,28,6,1,1,2,0,0,BB,USA,Online TA,TA/TO,D,F,0,No Deposit,Transient,87.3,1,1,2,174.6
Resort Hotel,0,95,2015,July,28,6,1,2,2,0,0,BB,GRC,Online TA,TA/TO,D,D,0,No Deposit,Transient,97.0,0,1,3,291.0
Resort Hotel,1,48,2015,July,28,6,1,3,2,0,0,HB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,167.0,0,0,4,668.0
